Municipio,Valor_Tasado,Num_Tasaciones,Periodo,Trimestre,Año,Mes,Fecha,Valor_Tasado_Madrid,Valor_Tasado_España,Dif_Madrid,Dif_España,Pct_Madrid,Pct_España
Valdemoro,2138.9,925,T2A2005 ,2,2005,6,2005-06-30,2701.2,1752.8,-562.2999999999997,386.10000000000014,-20.816674070783346,22.02761296211777
Villaviciosa De Odón,2586.6,93,T2A2005 ,2,2005,6,2005-06-30,2701.2,1752.8,-114.59999999999991,833.8,-4.242558862727675,47.56960292104062
Alcalá De Henares,2525.5,523,T3A2005 ,3,2005,9,2005-09-30,2719.5,1781.5,-194.0,744.0,-7.133664276521423,41.76255964075217
Alcobendas,3261.3,182,T3A2005 ,3,2005,9,2005-09-30,2719.5,1781.5,541.8000000000002,1479.8000000000002,19.92277992277993,83.06483300589392
Alcorcón,2823.9,323,T3A2005 ,3,2005,9,2005-09-30,2719.5,1781.5,104.40000000000009,1042.4,3.8389409817981335,58.51248947516139
Aranjuez,1890.5,361,T3A2005 ,3,2005,9,2005-09-30,2719.5,1781.5,-829.0,109.0,-30.48354476925905,6.118439517260743
Arganda Del Rey,2070.7,143,T3A2005 ,3,2005,9,2005-09-30,2719.5,1781.5,-648.8000000000002,289.1999999999998,-23.857326714469572,16.233511086163332
Boadilla Del Monte,2717.1,88,T3A2005 ,3,2005,9,2005-09-30,2719.5,1781.5,-2.400000000000091,935.5999999999999,-0.08825151682294585,52.51754139769855
Collado Villalba,2583.0,312,T3A2005 ,3,2005,9,2005-09-30,2719.5,1781.5,-136.5,801.5,-5.019305019305021,44.990176817288805
Colmenar Viejo,2683.6,118,T3A2005 ,3,2005,9,2005-09-30,2719.5,1781.5,-35.90000000000009,902.0999999999999,-1.32009560580989,50.637103564412
Coslada,2662.0,185,T3A2005 ,3,2005,9,2005-09-30,2719.5,1781.5,-57.5,880.5,-2.1143592572164027,49.42464215548694
Fuenlabrada,2356.1,463,T3A2005 ,3,2005,9,2005-09-30,2719.5,1781.5,-363.4000000000001,574.5999999999999,-13.362750505607657,32.25371877631209
Galapagar,2300.0,118,T3A2005 ,3,2005,9,2005-09-30,2719.5,1781.5,-419.5,518.5,-15.425629711344001,29.10468706146505
Getafe,2734.8,358,T3A2005 ,3,2005,9,2005-09-30,2719.5,1781.5,15.300000000000182,953.3000000000002,0.562603419746277,53.5110861633455
Leganés,2709.1,317,T3A2005 ,3,2005,9,2005-09-30,2719.5,1781.5,-10.400000000000091,927.5999999999999,-0.3824232395660987,52.068481616615216
Madrid,3564.6,6816,T3A2005 ,3,2005,9,2005-09-30,2719.5,1781.5,845.0999999999999,1783.1,31.075565361279644,100.08981195621666
Majadahonda,3263.9,151,T3A2005 ,3,2005,9,2005-09-30,2719.5,1781.5,544.4000000000001,1482.4,20.01838573267145,83.210777434746
Móstoles,2327.1,476,T3A2005 ,3,2005,9,2005-09-30,2719.5,1781.5,-392.4000000000001,545.5999999999999,-14.42912300055158,30.625877069884933
Parla,2256.6,381,T3A2005 ,3,2005,9,2005-09-30,2719.5,1781.5,-462.9000000000001,475.0999999999999,-17.0215113072256,26.66853774908784
Pinto,2534.3,112,T3A2005 ,3,2005,9,2005-09-30,2719.5,1781.5,-185.19999999999982,752.8000000000002,-6.810075381503944,42.25652539994387
Pozuelo De Alarcón,3163.2,116,T3A2005 ,3,2005,9,2005-09-30,2719.5,1781.5,443.6999999999998,1381.6999999999998,16.315499172642035,77.55823744035924
Rivas-Vaciamadrid,2338.1,104,T3A2005 ,3,2005,9,2005-09-30,2719.5,1781.5,-381.4000000000001,556.5999999999999,-14.02463688177974,31.243334268874534
Rozas De Madrid (Las),2975.5,235,T3A2005 ,3,2005,9,2005-09-30,2719.5,1781.5,256.0,1194.0,9.413495127780847,67.02217232669099
San Fernando De Henares,2709.5,91,T3A2005 ,3,2005,9,2005-09-30,2719.5,1781.5,-10.0,928.0,-0.36771465342894105,52.09093460566938
San Sebastián De Los Reyes,2851.5,168,T3A2005 ,3,2005,9,2005-09-30,2719.5,1781.5,132.0,1070.0,4.853833425262,60.06174571989895
Torrejón De Ardoz,2399.7,328,T3A2005 ,3,2005,9,2005-09-30,2719.5,1781.5,-319.8000000000002,618.1999999999998,-11.759514616657485,34.701094583216374
Tres Cantos,3042.3,67,T3A2005 ,3,2005,9,2005-09-30,2719.5,1781.5,322.8000000000002,1260.8000000000002,11.86982901268616,70.77182149873703
Valdemoro,2063.2,331,T3A2005 ,3,2005,9,2005-09-30,2719.5,1781.5,-656.3000000000002,281.6999999999998,-24.133112704541283,15.812517541397696
Villaviciosa De Odón,2757.1,65,T3A2005 ,3,2005,9,2005-09-30,2719.5,1781.5,37.59999999999991,975.5999999999999,1.3826070968928184,54.762840303115354
Alcalá De Henares,2565.3,934,T4A2005  ,4,2005,12,2005-12-31,2784.8,1824.3,-219.5,741.0000000000002,-7.882074116633153,40.618319355369195
Alcobendas,3231.2,325,T4A2005  ,4,2005,12,2005-12-31,2784.8,1824.3,446.39999999999964,1406.8999999999999,16.02987647227807,77.11999122951268
Alcorcón,2874.4,745,T4A2005  ,4,2005,12,2005-12-31,2784.8,1824.3,89.59999999999991,1050.1000000000001,3.2174662453317904,57.561804527764096
Aranjuez,2209.3,183,T4A2005  ,4,2005,12,2005-12-31,2784.8,1824.3,-575.5,385.0000000000002,-20.66575696638897,21.103985090171594
Arganda Del Rey,2141.9,200,T4A2005  ,4,2005,12,2005-12-31,2784.8,1824.3,-642.9000000000001,317.60000000000014,-23.086038494685436,17.40941731074934
Boadilla Del Monte,2793.8,180,T4A2005  ,4,2005,12,2005-12-31,2784.8,1824.3,9.0,969.5000000000002,0.32318299339271217,53.143671545250236
Collado Villalba,2623.0,493,T4A2005  ,4,2005,12,2005-12-31,2784.8,1824.3,-161.80000000000018,798.7,-5.810112036771054,43.7811763416105
Colmenar Viejo,2510.7,125,T4A2005  ,4,2005,12,2005-12-31,2784.8,1824.3,-274.10000000000036,686.3999999999999,-9.842717609882234,37.625390560763016
Coslada,2765.2,356,T4A2005  ,4,2005,12,2005-12-31,2784.8,1824.3,-19.600000000000364,940.8999999999999,-0.70382074116635,51.575946938551766
Fuenlabrada,2360.4,867,T4A2005  ,4,2005,12,2005-12-31,2784.8,1824.3,-424.4000000000001,536.1000000000001,-15.239873599540365,29.38661404374281
Galapagar,2377.7,195,T4A2005  ,4,2005,12,2005-12-31,2784.8,1824.3,-407.10000000000036,553.3999999999999,-14.618644067796627,30.334922984158297
Getafe,2688.1,665,T4A2005  ,4,2005,12,2005-12-31,2784.8,1824.3,-96.70000000000027,863.8,-3.4724217178971672,47.34966836594858
Leganés,2694.2,600,T4A2005  ,4,2005,12,2005-12-31,2784.8,1824.3,-90.60000000000036,869.8999999999999,-3.2533754668198966,47.68404319465
Madrid,3603.1,10678,T4A2005  ,4,2005,12,2005-12-31,2784.8,1824.3,818.2999999999997,1778.8,29.384515943694332,97.50589267116155
Majadahonda,3290.7,214,T4A2005  ,4,2005,12,2005-12-31,2784.8,1824.3,505.89999999999964,1466.3999999999999,18.166475150818705,80.38151619799375
Móstoles,2404.6,746,T4A2005  ,4,2005,12,2005-12-31,2784.8,1824.3,-380.2000000000003,580.3,-13.652686009767312,31.80946116318588
Parla,2319.5,585,T4A2005  ,4,2005,12,2005-12-31,2784.8,1824.3,-465.3000000000002,495.20000000000005,-16.70856075840277,27.14465822507264
Pinto,2684.9,234,T4A2005  ,4,2005,12,2005-12-31,2784.8,1824.3,-99.90000000000009,860.6000000000001,-3.5873312266590074,47.174258619744556
Pozuelo De Alarcón,3245.9,212,T4A2005  ,4,2005,12,2005-12-31,2784.8,1824.3,461.0999999999999,1421.6000000000001,16.557742028152834,77.92577975113744
Rivas-Vaciamadrid,2381.2,235,T4A2005  ,4,2005,12,2005-12-31,2784.8,1824.3,-403.60000000000036,556.8999999999999,-14.492961792588343,30.52677739406895
Rozas De Madrid (Las),2997.2,318,T4A2005  ,4,2005,12,2005-12-31,2784.8,1824.3,212.39999999999964,1172.8999999999999,7.627118644067776,64.29315353834346
