Municipio,Valor_Tasado,Num_Tasaciones,Periodo,Trimestre,Año,Mes,Fecha
Getafe,2839.3,701,T1A2006 ,1,2006,3,2006-03-31
Leganés,2674.0,725,T1A2006 ,1,2006,3,2006-03-31
Madrid,3657.0,15474,T1A2006 ,1,2006,3,2006-03-31
Majadahonda,3253.1,303,T1A2006 ,1,2006,3,2006-03-31
Móstoles,2483.9,983,T1A2006 ,1,2006,3,2006-03-31
Parla,2378.8,752,T1A2006 ,1,2006,3,2006-03-31
Pinto,2627.0,201,T1A2006 ,1,2006,3,2006-03-31
Pozuelo De Alarcón,3369.7,320,T1A2006 ,1,2006,3,2006-03-31
Rivas-Vaciamadrid,2412.0,222,T1A2006 ,1,2006,3,2006-03-31
Las Rozas de Madrid,3034.0,446,T1A2006 ,1,2006,3,2006-03-31
San Fernando De Henares,2940.9,337,T1A2006 ,1,2006,3,2006-03-31
San Sebastián De Los Reyes,3040.1,418,T1A2006 ,1,2006,3,2006-03-31
Torrejón De Ardoz,2485.8,981,T1A2006 ,1,2006,3,2006-03-31
Tres Cantos,3067.8,116,T1A2006 ,1,2006,3,2006-03-31
Valdemoro,2155.1,696,T1A2006 ,1,2006,3,2006-03-31
Villaviciosa De Odón,2796.1,120,T1A2006 ,1,2006,3,2006-03-31
Alcalá De Henares,2719.3,1322,T2A2006 ,2,2006,6,2006-06-30
Alcobendas,3317.1,404,T2A2006 ,2,2006,6,2006-06-30
Alcorcón,3002.6,816,T2A2006 ,2,2006,6,2006-06-30
Aranjuez,2258.1,416,T2A2006 ,2,2006,6,2006-06-30
Arganda Del Rey,2307.3,408,T2A2006 ,2,2006,6,2006-06-30
Boadilla Del Monte,2966.5,219,T2A2006 ,2,2006,6,2006-06-30
Collado Villalba,2539.3,519,T2A2006 ,2,2006,6,2006-06-30
Colmenar Viejo,2623.4,254,T2A2006 ,2,2006,6,2006-06-30
Coslada,2911.5,509,T2A2006 ,2,2006,6,2006-06-30
Fuenlabrada,2516.2,1285,T2A2006 ,2,2006,6,2006-06-30
Galapagar,2405.3,291,T2A2006 ,2,2006,6,2006-06-30
Getafe,3035.7,825,T2A2006 ,2,2006,6,2006-06-30
Leganés,2824.5,971,T2A2006 ,2,2006,6,2006-06-30
Madrid,3699.7,16638,T2A2006 ,2,2006,6,2006-06-30
Majadahonda,3225.7,354,T2A2006 ,2,2006,6,2006-06-30
Móstoles,2572.7,1185,T2A2006 ,2,2006,6,2006-06-30
Parla,2397.9,1005,T2A2006 ,2,2006,6,2006-06-30
Pinto,2557.3,258,T2A2006 ,2,2006,6,2006-06-30
Pozuelo De Alarcón,3328.7,299,T2A2006 ,2,2006,6,2006-06-30
Rivas-Vaciamadrid,2342.5,297,T2A2006 ,2,2006,6,2006-06-30
Las Rozas de Madrid,3264.5,549,T2A2006 ,2,2006,6,2006-06-30
San Fernando De Henares,2966.8,269,T2A2006 ,2,2006,6,2006-06-30
San Sebastián De Los Reyes,3215.9,626,T2A2006 ,2,2006,6,2006-06-30
Torrejón De Ardoz,2562.3,979,T2A2006 ,2,2006,6,2006-06-30
Tres Cantos,2572.5,233,T2A2006 ,2,2006,6,2006-06-30
Valdemoro,2242.5,885,T2A2006 ,2,2006,6,2006-06-30
Villaviciosa De Odón,2627.1,136,T2A2006 ,2,2006,6,2006-06-30
Alcalá De Henares,2724.7,677,T3A2006 ,3,2006,9,2006-09-30
Alcobendas,3485.0,331,T3A2006 ,3,2006,9,2006-09-30
Alcorcón,2971.1,450,T3A2006 ,3,2006,9,2006-09-30
Aranjuez,2378.3,216,T3A2006 ,3,2006,9,2006-09-30
Arganda Del Rey,2356.3,171,T3A2006 ,3,2006,9,2006-09-30
Boadilla Del Monte,3104.7,189,T3A2006 ,3,2006,9,2006-09-30
Collado Villalba,2621.7,364,T3A2006 ,3,2006,9,2006-09-30
Colmenar Viejo,2688.8,145,T3A2006 ,3,2006,9,2006-09-30
Coslada,2964.8,246,T3A2006 ,3,2006,9,2006-09-30
Fuenlabrada,2502.8,721,T3A2006 ,3,2006,9,2006-09-30
Galapagar,2441.0,163,T3A2006 ,3,2006,9,2006-09-30
Getafe,2902.9,461,T3A2006 ,3,2006,9,2006-09-30
Leganés,2824.0,480,T3A2006 ,3,2006,9,2006-09-30
Madrid,3717.2,9757,T3A2006 ,3,2006,9,2006-09-30
Majadahonda,3400.9,167,T3A2006 ,3,2006,9,2006-09-30
Móstoles,2565.2,666,T3A2006 ,3,2006,9,2006-09-30
Parla,2421.1,558,T3A2006 ,3,2006,9,2006-09-30
Pinto,2813.8,161,T3A2006 ,3,2006,9,2006-09-30
Pozuelo De Alarcón,3395.6,164,T3A2006 ,3,2006,9,2006-09-30
Rivas-Vaciamadrid,2528.5,205,T3A2006 ,3,2006,9,2006-09-30
Las Rozas de Madrid,3074.5,306,T3A2006 ,3,2006,9,2006-09-30
San Fernando De Henares,2945.4,122,T3A2006 ,3,2006,9,2006-09-30
San Sebastián De Los Reyes,3062.5,328,T3A2006 ,3,2006,9,2006-09-30
Torrejón De Ardoz,2651.6,791,T3A2006 ,3,2006,9,2006-09-30
Tres Cantos,2838.5,121,T3A2006 ,3,2006,9,2006-09-30
Valdemoro,2353.8,478,T3A2006 ,3,2006,9,2006-09-30
Villaviciosa De Odón,2877.3,58,T3A2006 ,3,2006,9,2006-09-30
Alcalá De Henares,2750.9,835,T4A2006  ,4,2006,12,2006-12-31
Alcobendas,3613.5,486,T4A2006  ,4,2006,12,2006-12-31
Alcorcón,3033.8,495,T4A2006  ,4,2006,12,2006-12-31
Aranjuez,2438.2,434,T4A2006  ,4,2006,12,2006-12-31
Arganda Del Rey,2284.2,285,T4A2006  ,4,2006,12,2006-12-31
Boadilla Del Monte,3077.0,215,T4A2006  ,4,2006,12,2006-12-31
Collado Villalba,2693.4,436,T4A2006  ,4,2006,12,2006-12-31
Colmenar Viejo,2753.1,247,T4A2006  ,4,2006,12,2006-12-31
Coslada,2999.9,306,T4A2006  ,4,2006,12,2006-12-31
Fuenlabrada,2558.2,901,T4A2006  ,4,2006,12,2006-12-31
Galapagar,2401.0,184,T4A2006  ,4,2006,12,2006-12-31
Getafe,2963.1,853,T4A2006  ,4,2006,12,2006-12-31
Leganés,3016.3,777,T4A2006  ,4,2006,12,2006-12-31
Madrid,3728.4,12882,T4A2006  ,4,2006,12,2006-12-31
Majadahonda,3520.5,202,T4A2006  ,4,2006,12,2006-12-31
Móstoles,2605.4,772,T4A2006  ,4,2006,12,2006-12-31
Parla,2446.2,978,T4A2006  ,4,2006,12,2006-12-31
Pinto,2767.6,203,T4A2006  ,4,2006,12,2006-12-31
Pozuelo De Alarcón,3512.3,209,T4A2006  ,4,2006,12,2006-12-31
Rivas-Vaciamadrid,2555.2,379,T4A2006  ,4,2006,12,2006-12-31
Las Rozas de Madrid,3132.5,438,T4A2006  ,4,2006,12,2006-12-31
San Fernando De Henares,3077.4,341,T4A2006  ,4,2006,12,2006-12-31
San Sebastián De Los Reyes,3014.4,362,T4A2006  ,4,2006,12,2006-12-31
Torrejón De Ardoz,2708.6,577,T4A2006  ,4,2006,12,2006-12-31
Tres Cantos,2890.0,124,T4A2006  ,4,2006,12,2006-12-31
Valdemoro,2237.6,579,T4A2006  ,4,2006,12,2006-12-31
Villaviciosa De Odón,2785.6,79,T4A2006  ,4,2006,12,2006-12-31
Alcalá De Henares,2740.5,437,T1A2007 ,1,2007,3,2007-03-31
Alcobendas,3729.2,312,T1A2007 ,1,2007,3,2007-03-31
Alcorcón,3013.7,311,T1A2007 ,1,2007,3,2007-03-31
Aranjuez,2400.5,190,T1A2007 ,1,2007,3,2007-03-31
Arganda Del Rey,2462.2,173,T1A2007 ,1,2007,3,2007-03-31
Boadilla Del Monte,3303.6,153,T1A2007 ,1,2007,3,2007-03-31
Collado Villalba,2677.1,259,T1A2007 ,1,2007,3,2007-03-31
Colmenar Viejo,2910.2,153,T1A2007 ,1,2007,3,2007-03-31
Coslada,2976.6,177,T1A2007 ,1,2007,3,2007-03-31
Fuenlabrada,2523.1,561,T1A2007 ,1,2007,3,2007-03-31
Galapagar,2452.4,112,T1A2007 ,1,2007,3,2007-03-31
Getafe,2790.0,375,T1A2007 ,1,2007,3,2007-03-31
Leganés,2934.1,387,T1A2007 ,1,2007,3,2007-03-31
Madrid,3889.8,8139,T1A2007 ,1,2007,3,2007-03-31
Majadahonda,3700.7,174,T1A2007 ,1,2007,3,2007-03-31
Móstoles,2557.4,452,T1A2007 ,1,2007,3,2007-03-31
Parla,2447.3,442,T1A2007 ,1,2007,3,2007-03-31
Pinto,2618.5,201,T1A2007 ,1,2007,3,2007-03-31
Pozuelo De Alarcón,3678.8,178,T1A2007 ,1,2007,3,2007-03-31
Rivas-Vaciamadrid,2597.4,155,T1A2007 ,1,2007,3,2007-03-31
Las Rozas de Madrid,3422.2,280,T1A2007 ,1,2007,3,2007-03-31
San Fernando De Henares,3142.6,115,T1A2007 ,1,2007,3,2007-03-31
San Sebastián De Los Reyes,3165.1,256,T1A2007 ,1,2007,3,2007-03-31
Torrejón De Ardoz,2779.2,345,T1A2007 ,1,2007,3,2007-03-31
Tres Cantos,3296.1,71,T1A2007 ,1,2007,3,2007-03-31
Valdemoro,2375.6,301,T1A2007 ,1,2007,3,2007-03-31
Villaviciosa De Odón,2770.0,60,T1A2007 ,1,2007,3,2007-03-31
Alcalá De Henares,2826.1,703,T2A2007  ,2,2007,6,2007-06-30
Alcobendas,3487.3,231,T2A2007  ,2,2007,6,2007-06-30
Alcorcón,3200.0,672,T2A2007  ,2,2007,6,2007-06-30
Aranjuez,2532.1,320,T2A2007  ,2,2007,6,2007-06-30
Arganda Del Rey,2524.0,270,T2A2007  ,2,2007,6,2007-06-30
Boadilla Del Monte,3323.9,285,T2A2007  ,2,2007,6,2007-06-30
Collado Villalba,2910.9,465,T2A2007  ,2,2007,6,2007-06-30
Colmenar Viejo,2968.3,241,T2A2007  ,2,2007,6,2007-06-30
Coslada,3067.8,285,T2A2007  ,2,2007,6,2007-06-30
Fuenlabrada,2546.5,888,T2A2007  ,2,2007,6,2007-06-30
Galapagar,2363.4,173,T2A2007  ,2,2007,6,2007-06-30
Getafe,2847.9,558,T2A2007  ,2,2007,6,2007-06-30
Leganés,3096.9,679,T2A2007  ,2,2007,6,2007-06-30
Madrid,3786.0,11426,T2A2007  ,2,2007,6,2007-06-30
Majadahonda,3678.7,239,T2A2007  ,2,2007,6,2007-06-30
Móstoles,2664.0,726,T2A2007  ,2,2007,6,2007-06-30
Parla,2485.4,597,T2A2007  ,2,2007,6,2007-06-30
Pinto,2778.2,177,T2A2007  ,2,2007,6,2007-06-30
Pozuelo De Alarcón,3585.1,240,T2A2007  ,2,2007,6,2007-06-30
Rivas-Vaciamadrid,2557.7,516,T2A2007  ,2,2007,6,2007-06-30
Las Rozas de Madrid,3235.4,319,T2A2007  ,2,2007,6,2007-06-30
San Fernando De Henares,3064.0,130,T2A2007  ,2,2007,6,2007-06-30
San Sebastián De Los Reyes,3235.1,348,T2A2007  ,2,2007,6,2007-06-30
Torrejón De Ardoz,2669.3,505,T2A2007  ,2,2007,6,2007-06-30
Tres Cantos,2990.2,122,T2A2007  ,2,2007,6,2007-06-30
Valdemoro,2394.3,601,T2A2007  ,2,2007,6,2007-06-30
Villaviciosa De Odón,2831.6,83,T2A2007  ,2,2007,6,2007-06-30
Alcalá De Henares,2851.1,493,T3A2007 ,3,2007,9,2007-09-30
Alcobendas,3386.6,165,T3A2007 ,3,2007,9,2007-09-30
Alcorcón,3039.1,507,T3A2007 ,3,2007,9,2007-09-30
Aranjuez,2507.1,237,T3A2007 ,3,2007,9,2007-09-30
Arganda Del Rey,2427.2,152,T3A2007 ,3,2007,9,2007-09-30
Boadilla Del Monte,3102.9,131,T3A2007 ,3,2007,9,2007-09-30
Collado Villalba,2868.0,336,T3A2007 ,3,2007,9,2007-09-30
Colmenar Viejo,2680.2,139,T3A2007 ,3,2007,9,2007-09-30
Coslada,3007.8,175,T3A2007 ,3,2007,9,2007-09-30
Fuenlabrada,2607.4,605,T3A2007 ,3,2007,9,2007-09-30
Galapagar,2521.7,152,T3A2007 ,3,2007,9,2007-09-30
Getafe,2929.1,424,T3A2007 ,3,2007,9,2007-09-30
Leganés,3059.3,457,T3A2007 ,3,2007,9,2007-09-30
Madrid,3842.7,8330,T3A2007 ,3,2007,9,2007-09-30
Majadahonda,3606.3,151,T3A2007 ,3,2007,9,2007-09-30
Móstoles,2625.6,549,T3A2007 ,3,2007,9,2007-09-30
Parla,2407.4,497,T3A2007 ,3,2007,9,2007-09-30
Pinto,2841.6,97,T3A2007 ,3,2007,9,2007-09-30
Pozuelo De Alarcón,3710.3,168,T3A2007 ,3,2007,9,2007-09-30
Rivas-Vaciamadrid,2553.3,230,T3A2007 ,3,2007,9,2007-09-30
Las Rozas de Madrid,3221.7,277,T3A2007 ,3,2007,9,2007-09-30
