Latitude,Longitude,Price,Rooms,Bathrooms,Surface,Floor,Elevator,Air_Conditioner,Heater,Parking,Balcony,Terrace,Swimming_Pool,log_price,log_surface
40.438507,-3.6444607,160000,2,1,60,6,0,0,0,0,1,1,0,11.982929094215963,4.0943445622221
40.439114,-3.701066,550000,3,2,110,7,1,1,1,0,0,1,0,13.217673557208654,4.700480365792417
40.44884,-3.57047,498000,4,3,200,0,0,1,1,0,0,1,0,13.11835535600679,5.298317366548036
40.443527,-3.7051964,235000,1,1,46,6,0,1,0,0,1,0,0,12.367340793126296,3.828641396489095
40.394737,-3.6649258,180000,3,1,111,9,0,0,0,0,0,1,0,12.100712129872347,4.709530201312334
40.428665,-3.678122,320000,1,1,52,0,1,0,1,0,0,0,0,12.676076274775909,3.9512437185814275
40.448803,-3.7839096,480000,2,2,95,10,1,0,1,0,0,1,0,13.081541382884074,4.553876891600541
40.392845,-3.6656291,210000,2,2,66,8,1,1,1,0,1,1,0,12.254862809699606,4.189654742026425
40.42928,-3.674981,340000,2,1,63,6,1,1,1,0,0,0,0,12.736700896592344,4.143134726391533
40.46868,-3.6514382,210000,3,1,57,6,1,0,0,0,1,0,0,12.254862809699606,4.04305126783455
40.39641,-3.7606487,132000,3,1,64,0,0,0,0,0,0,1,0,11.790557201568507,4.1588830833596715
40.422832,-3.666171,199000,0,1,40,6,1,1,1,0,0,0,0,12.201060103706629,3.6888794541139363
40.38082,-3.7158942,142000,2,1,67,0,0,0,0,0,0,0,0,11.863582336583399,4.204692619390966
40.33781,-3.690097,98000,3,1,63,10,0,0,0,0,0,0,0,11.49272275765271,4.143134726391533
40.383305,-3.666717,135000,3,1,60,9,1,1,1,0,0,0,0,11.813030057420567,4.0943445622221
40.42388,-3.6521933,195000,2,1,51,0,0,1,0,0,0,0,0,12.180754837545884,3.9318256327243257
40.43629,-3.7126544,228000,1,1,39,8,0,0,0,0,0,0,0,12.337100907936577,3.6635616461296463
40.391018,-3.7207317,129000,2,1,61,0,0,0,0,0,0,0,0,11.76756768334381,4.110873864173311
40.385983,-3.7333438,137500,3,1,90,3,0,0,1,0,0,1,0,11.831379196088763,4.499809670330265
40.420715,-3.7185674,339000,1,1,53,9,1,1,0,0,1,0,0,12.733755386362587,3.970291913552122
40.385555,-3.6528215,80000,2,1,63,3,0,0,0,0,0,1,0,11.289781913656018,4.143134726391533
40.39532,-3.7418563,149900,3,1,98,8,0,0,0,0,0,0,0,11.917723684090689,4.584967478670572
40.42762,-3.71751,649000,3,2,106,9,1,1,1,0,0,1,0,13.383187995686226,4.663439094112067
40.48323,-3.72007,199000,2,1,55,6,1,1,1,0,0,0,0,12.201060103706629,4.007333185232471
40.39832,-3.70026,399000,3,2,81,8,1,1,1,0,0,1,0,12.896716695872,4.394449154672439
40.41314,-3.69605,200000,1,1,37,6,1,0,1,0,0,0,0,12.206072645530174,3.6109179126442243
40.3964,-3.71861,250000,3,1,69,6,1,1,1,0,0,0,0,12.429216196844383,4.23410650459726
40.42337,-3.7071,165000,1,1,23,9,0,1,1,0,0,0,0,12.013700752882718,3.1354942159291497
40.50783,-3.67394,449000,2,2,107,8,1,1,1,0,0,0,0,13.01477816672439,4.672828834461906
40.45398,-3.69882,799000,4,3,173,7,1,1,1,0,1,1,0,13.591116224748411,5.153291594497779
40.45889,-3.69912,449000,3,2,108,7,1,1,1,0,0,1,0,13.01477816672439,4.68213122712422
40.404854,-3.6922777,700000,4,3,158,9,1,0,1,0,0,1,0,13.458835614025542,5.062595033026967
40.420418,-3.6743593,1195000,4,3,184,9,1,1,1,0,0,1,0,13.993656743347747,5.214935757608986
40.45802,-3.6994479,275000,4,2,100,8,0,1,0,0,1,0,0,12.524526376648708,4.605170185988092
40.437813,-3.7085984,430000,3,1,96,3,1,0,1,0,0,0,0,12.971540487669746,4.564348191467836
40.402237,-3.739189,295000,3,2,81,6,1,1,1,0,1,0,0,12.594730635321957,4.394449154672439
40.38883,-3.7227776,225000,3,2,86,11,1,0,0,0,0,1,0,12.323855681186558,4.454347296253507
40.452263,-3.6669056,800000,4,3,164,10,1,0,1,0,1,1,0,13.592367006650065,5.099866427824199
40.440704,-3.6446996,255000,3,1,84,8,1,1,1,0,1,1,0,12.449018824140563,4.430816798843313
40.467205,-3.63331,319000,3,1,86,7,1,1,1,0,1,1,0,12.672946381766982,4.454347296253507
40.423214,-3.67736,450000,2,2,71,7,1,1,1,0,0,0,0,13.017002861746503,4.2626798770413155
40.441456,-3.6389456,460000,2,2,106,6,1,1,1,0,0,0,0,13.038981768465277,4.663439094112067
40.436066,-3.6966429,1050000,3,2,105,7,1,1,1,0,0,0,0,13.864300722133706,4.653960350157523
40.39607,-3.765326,210000,3,1,77,16,1,1,1,1,0,0,0,12.254862809699606,4.343805421853684
40.45904,-3.6261075,540000,2,2,107,8,1,1,1,0,0,0,0,13.199324418540456,4.672828834461906
40.44748,-3.67318,199000,2,1,43,0,1,1,1,0,0,0,0,12.201060103706629,3.7612001156935624
40.453598,-3.6944256,870000,4,3,175,11,1,0,1,0,1,1,0,13.676248490630767,5.1647859739235145
40.47642,-3.699543,480000,5,2,170,14,1,0,1,0,0,1,0,13.081541382884074,5.135798437050262
40.408855,-3.7000585,385000,3,1,80,9,1,0,1,0,1,0,0,12.86099861326992,4.382026634673881
40.481434,-3.7117393,360000,4,2,102,11,1,0,1,0,0,1,0,12.793859310432293,4.624972813284271
40.499187,-3.6727526,395000,2,2,80,6,1,1,1,0,0,0,0,12.886641043883259,4.382026634673881
40.47875,-3.7178345,310000,2,1,75,11,1,0,1,0,0,0,0,12.644327576461329,4.31748811353631
40.48519,-3.66692,201000,1,1,52,6,1,0,1,0,0,0,0,12.211060187041213,3.9512437185814275
40.39282,-3.69428,147000,2,1,45,0,0,0,1,0,0,1,0,11.898187865760873,3.8066624897703196
40.47793,-3.71374,254020,2,1,64,16,1,0,1,0,1,0,0,12.44516828305831,4.1588830833596715
40.45913,-3.696144,550000,2,1,77,12,1,1,0,1,0,0,0,13.217673557208654,4.343805421853684
40.43026,-3.6777883,750000,2,3,92,6,1,0,1,0,0,0,0,13.527828485512494,4.5217885770490405
40.387,-3.711545,172000,3,1,90,6,0,0,1,0,0,0,0,12.05524975579559,4.499809670330265
40.47426,-3.6362574,230000,2,1,70,6,0,0,1,0,1,1,0,12.345834587905333,4.248495242049359
40.384647,-3.6964161,570000,4,2,176,7,1,1,1,1,1,1,1,13.253391639810733,5.170483995038151
40.448376,-3.697116,1100000,5,3,282,8,1,1,1,0,0,1,0,13.9108207377686,5.641907070938114
40.42705,-3.613829,140000,2,1,54,3,0,1,1,0,0,0,0,11.84939770159144,3.9889840465642745
40.42986,-3.7014523,790000,2,2,97,6,1,1,1,0,1,0,0,13.579788224443204,4.574710978503383
40.42128,-3.7170289,350000,1,1,76,3,0,1,1,0,1,0,0,12.765688433465597,4.330733340286331
40.425457,-3.6235123,129000,1,1,60,3,0,1,1,0,0,0,0,11.76756768334381,4.0943445622221
40.447693,-3.7026925,360000,3,1,81,6,1,1,0,0,0,0,0,12.793859310432293,4.394449154672439
40.414455,-3.7026608,600000,4,2,117,8,1,0,0,0,1,0,0,13.304684934198283,4.762173934797756
40.434444,-3.6192384,385000,2,2,97,6,1,1,1,1,0,0,1,12.86099861326992,4.574710978503383
40.40322,-3.73934,249000,3,1,70,0,0,0,1,0,0,1,0,12.425208175446844,4.248495242049359
40.443455,-3.6686914,342000,1,1,65,12,1,1,1,0,0,0,0,12.742566016044742,4.174387269895637
40.442608,-3.5762436,268000,1,1,82,9,1,1,1,1,0,0,1,12.498742259492994,4.406719247264253
40.40258,-3.7089088,1200000,2,3,197,7,1,1,1,1,0,0,1,13.997832114758229,5.2832037287379885
40.397346,-3.6639209,103000,2,1,48,6,0,1,0,0,0,0,0,11.542484267211773,3.871201010907891
40.37112,-3.7391527,269900,2,2,96,6,1,1,1,0,0,0,0,12.505806799006097,4.564348191467836
40.42591,-3.7148757,544000,2,1,69,0,1,0,1,0,0,1,0,13.206704525838079,4.23410650459726
40.38275,-3.7782238,178000,2,1,61,10,1,0,1,0,0,1,0,12.089538829274222,4.110873864173311
40.409225,-3.6994503,235000,2,1,65,3,0,1,0,0,0,0,0,12.367340793126296,4.174387269895637
